Fecha,Producto,Cantidad,Precio Unitario,Total Venta,Total_Calc
2023-01-17,Electrónic,7,200,1400,1400
2023-09-01,Electrónic,8,200,1600,1600
2023-07-29,Juguetes,3,30,90,90
2023-10-04,Alimentos,4,10,40,40
2023-02-28,Electrónic,6,200,1200,1200
2023-03-11,Ropa,9,50,450,450
2023-11-03,Juguetes,4,30,120,120
2023-11-08,Ropa,9,50,450,450
2023-03-22,Ropa,10,50,500,500
2023-09-29,Ropa,1,50,50,50
2023-09-12,Alimentos,2,10,20,20
2023-01-25,Juguetes,3,30,90,90
2023-11-21,Alimentos,3,10,30,30
2023-05-27,Alimentos,2,10,20,20
2023-01-19,Juguetes,10,30,300,300
2023-12-05,Libros,4,20,80,80
2023-06-05,Alimentos,6,10,60,60
2023-05-19,Libros,10,20,200,200
2023-01-20,Alimentos,9,10,90,90
2023-06-18,Electrónic,9,200,1800,1800
2023-11-21,Alimentos,1,10,10,10
2023-05-01,Electrónic,10,200,2000,2000
2023-02-10,Juguetes,1,30,30,30
2023-07-27,Libros,3,20,60,60
2023-09-13,Alimentos,8,10,80,80
2023-09-11,Juguetes,6,30,180,180
2023-12-10,Libros,1,20,20,20
2023-07-23,Libros,1,20,20,20
2023-01-17,Libros,9,20,180,180
2023-05-19,Ropa,10,50,500,500
2023-05-09,Juguetes,8,30,240,240
2023-02-21,Juguetes,8,30,240,240
2023-06-01,Alimentos,1,10,10,10
2023-04-02,Ropa,6,50,300,300
2023-08-21,Libros,3,20,60,60
2023-09-12,Juguetes,1,30,30,30
2023-02-17,Libros,6,20,120,120
2023-11-19,Electrónic,4,200,800,800
2023-06-28,Electrónic,8,200,1600,1600
2023-03-20,Juguetes,2,30,60,60
2023-06-01,Juguetes,4,30,120,120
2023-11-19,Electrónic,10,200,2000,2000
2023-10-18,Ropa,4,50,200,200
2023-04-11,Alimentos,6,10,60,60
2023-10-20,Alimentos,4,10,40,40
2023-11-20,Juguetes,8,30,240,240
2023-05-04,Alimentos,6,10,60,60
2023-08-08,Electrónic,10,200,2000,2000
2023-01-07,Libros,4,20,80,80
2023-12-05,Electrónic,1,200,200,200
2023-03-18,Libros,7,20,140,140
2023-06-07,Electrónic,2,200,400,400
2023-05-17,Juguetes,6,30,180,180
2023-08-20,Libros,4,20,80,80
2023-06-01,Ropa,4,50,200,200
2023-12-23,Ropa,5,50,250,250
2023-11-11,Alimentos,1,10,10,10
2023-09-28,Libros,8,20,160,160
2023-08-04,Alimentos,9,10,90,90
2023-02-14,Libros,4,20,80,80
